year,round,event_name,circuit,session,session_date,session_path,has_results,has_laps,has_weather,has_session_info,has_track_status,has_session_status,has_race_control,total_drivers,total_laps,event_format,has_qualifying_data,has_null_positions,has_null_grid,is_complete,completeness_score,race_id,days_since_start,season_progress
2022,1,bahrain_grand_prix,Sakhir,Practice 1,2022-03-18 12:00:00,2022/bahrain_grand_prix/Practice 1/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R01,0,0.0
2022,1,bahrain_grand_prix,Sakhir,Practice 2,2022-03-18 15:00:00,2022/bahrain_grand_prix/Practice 2/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R01,0,0.0
2022,1,bahrain_grand_prix,Sakhir,Practice 3,2022-03-19 12:00:00,2022/bahrain_grand_prix/Practice 3/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R01,1,0.0
2022,1,bahrain_grand_prix,Sakhir,Qualifying,2022-03-19 15:00:00,2022/bahrain_grand_prix/Qualifying/,True,True,True,True,True,True,True,20,,conventional,False,False,True,True,100.0,2022_R01,1,0.0
2022,1,bahrain_grand_prix,Sakhir,Race,2022-03-20 15:00:00,2022/bahrain_grand_prix/Race/,True,True,True,True,True,True,True,20,57.0,conventional,False,False,False,True,100.0,2022_R01,2,0.0
2022,2,saudi_arabian_grand_prix,Jeddah,Practice 1,2022-03-25 14:00:00,2022/saudi_arabian_grand_prix/Practice 1/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R02,7,0.047619047619047616
2022,2,saudi_arabian_grand_prix,Jeddah,Practice 2,2022-03-25 17:00:00,2022/saudi_arabian_grand_prix/Practice 2/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R02,7,0.047619047619047616
2022,2,saudi_arabian_grand_prix,Jeddah,Practice 3,2022-03-26 14:00:00,2022/saudi_arabian_grand_prix/Practice 3/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R02,8,0.047619047619047616
2022,2,saudi_arabian_grand_prix,Jeddah,Qualifying,2022-03-26 17:00:00,2022/saudi_arabian_grand_prix/Qualifying/,True,True,True,True,True,True,True,20,,conventional,False,False,True,True,100.0,2022_R02,8,0.047619047619047616
2022,2,saudi_arabian_grand_prix,Jeddah,Race,2022-03-27 17:00:00,2022/saudi_arabian_grand_prix/Race/,True,True,True,True,True,True,True,20,50.0,conventional,False,True,True,True,100.0,2022_R02,9,0.047619047619047616
2022,3,australian_grand_prix,Melbourne,Practice 1,2022-04-08 03:00:00,2022/australian_grand_prix/Practice 1/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R03,20,0.09523809523809523
2022,3,australian_grand_prix,Melbourne,Practice 2,2022-04-08 06:00:00,2022/australian_grand_prix/Practice 2/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R03,20,0.09523809523809523
2022,3,australian_grand_prix,Melbourne,Practice 3,2022-04-09 03:00:00,2022/australian_grand_prix/Practice 3/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R03,21,0.09523809523809523
2022,3,australian_grand_prix,Melbourne,Qualifying,2022-04-09 06:00:00,2022/australian_grand_prix/Qualifying/,True,True,True,True,True,True,True,20,,conventional,False,False,True,True,100.0,2022_R03,21,0.09523809523809523
2022,3,australian_grand_prix,Melbourne,Race,2022-04-10 05:00:00,2022/australian_grand_prix/Race/,True,True,True,True,True,True,True,20,58.0,conventional,False,False,False,True,100.0,2022_R03,22,0.09523809523809523
2022,4,emilia_romagna_grand_prix,Imola,Practice 1,2022-04-22 11:30:00,2022/emilia_romagna_grand_prix/Practice 1/,True,True,True,True,True,True,True,20,,sprint,False,True,True,True,100.0,2022_R04,34,0.14285714285714285
2022,4,emilia_romagna_grand_prix,Imola,Practice 2,2022-04-23 10:30:00,2022/emilia_romagna_grand_prix/Practice 2/,True,True,True,True,True,True,True,20,,sprint,False,True,True,True,100.0,2022_R04,35,0.14285714285714285
2022,4,emilia_romagna_grand_prix,Imola,Qualifying,2022-04-22 15:00:00,2022/emilia_romagna_grand_prix/Qualifying/,True,True,True,True,True,True,True,20,,sprint,False,False,True,True,100.0,2022_R04,35,0.14285714285714285
2022,4,emilia_romagna_grand_prix,Imola,Race,2022-04-24 13:00:00,2022/emilia_romagna_grand_prix/Race/,True,True,True,True,True,True,True,20,63.0,sprint,False,False,False,True,100.0,2022_R04,37,0.14285714285714285
2022,4,emilia_romagna_grand_prix,Imola,Sprint,2022-04-23 14:30:00,2022/emilia_romagna_grand_prix/Sprint/,True,True,True,True,True,True,True,20,21.0,sprint,False,False,False,True,100.0,2022_R04,36,0.14285714285714285
2022,5,miami_grand_prix,Miami,Practice 1,2022-05-06 18:30:00,2022/miami_grand_prix/Practice 1/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R05,49,0.19047619047619047
2022,5,miami_grand_prix,Miami,Practice 2,2022-05-06 21:30:00,2022/miami_grand_prix/Practice 2/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R05,49,0.19047619047619047
2022,5,miami_grand_prix,Miami,Practice 3,2022-05-07 17:00:00,2022/miami_grand_prix/Practice 3/,True,True,True,True,True,True,True,20,,conventional,False,True,True,True,100.0,2022_R05,50,0.19047619047619047
