Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,EventName,SessionName,SessionDate
2022-09-11 12:09:13,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:30:01,Other,PIT EXIT CLOSED,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:45:16,Other,RISK OF RAIN FOR F1 RACE IS 0%,,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 12:57:05,Drs,DRS DISABLED,DISABLED,,,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:03:28,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:06:39,Drs,DRS ENABLED,ENABLED,,,,,3,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:18:41,Other,LAP 1 TURN 1 INCIDENT INVOLVING CAR 20 (MAG) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,11,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:19,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:20,Other,DRS DISABLED IN ZONE 1,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:29,Other,DRS ENABLED IN ZONE 1,,,,,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
2022-09-11 13:19:29,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,12,Italian Grand Prix,Race,2022-09-11 13:00:00
